"","Sample Id","treatment","Plant","Operator","Analysis Date Time","ImageFileName","ImageAcqDeviceAndSoftwareInfo DateTimeModified","AnalysedRegionArea(cm2)","AnalysedRegionWidth(cm)","AnalysedRegionHeight(cm)","Left Top Right Bottom  NExclusions","DevOrder Criteria","ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile]","PxClassif","Filters","Fractal PxMin PxMax","SoilVol(m3)","Length(cm)","LengthTen(cm)","ProjArea(cm2)","ProjAreaTen(cm2)/RatioLeafToRootArea","SurfArea(cm2)","SurfAreaTen(cm2)","AvgDiam(mm)","AvgDiamTen(mm)","LenPerVol(cm/m3)","LenPerVolTen(cm/m3)","RootVolume(cm3)","FractalDimension","FractalDeviation","Tips","Forks","Crossings","NofLinks","NLinksIL","NLinksEE","NLinksEEL","NLinksEI","NLinksII","LengthLinksIL","LengthLinksEE","LengthLinksEEL","LengthLinksEI","LengthLinksII","Altitude","ExternalPathLength","LinkAvgLength(cm)","LinkAvgProjArea(cm2)","LinkAvgSurfArea(cm2)","LinkAvgDiam(mm)","LinkAvgBrAngle(deg)","NofNodules","LeafArea","...53","NAxis","Main NAxis","Main TotLength","Lateral NAxis","Lateral TotLength","Tertiary NAxis","Tertiary TotLength","NSeedlings/Seedling#","NumberOfClasses","ClassBoundaries","LenTotHistoClasses","0<.L.<=0.5000000","0.5000000<.L.<=1.0000000","1.0000000<.L.<=1.5000000","1.5000000<.L.<=2.0000000","2.0000000<.L.<=2.5000000","2.5000000<.L.<=3.0000000","3.0000000<.L.<=3.5000000","3.5000000<.L.<=4.0000000","4.0000000<.L.<=4.5000000",".L.>4.5000000","SATotHistoClasses","0<.SA.<=0.5000000","0.5000000<.SA.<=1.0000000","1.0000000<.SA.<=1.5000000","1.5000000<.SA.<=2.0000000","2.0000000<.SA.<=2.5000000","2.5000000<.SA.<=3.0000000","3.0000000<.SA.<=3.5000000","3.5000000<.SA.<=4.0000000","4.0000000<.SA.<=4.5000000",".SA.>4.5000000","PATotHistoClasses","0<.PA.<=0.5000000","0.5000000<.PA.<=1.0000000","1.0000000<.PA.<=1.5000000","1.5000000<.PA.<=2.0000000","2.0000000<.PA.<=2.5000000","2.5000000<.PA.<=3.0000000","3.0000000<.PA.<=3.5000000","3.5000000<.PA.<=4.0000000","4.0000000<.PA.<=4.5000000",".PA.>4.5000000","VolTotHistoClasses","0<.V.<=0.5000000","0.5000000<.V.<=1.0000000","1.0000000<.V.<=1.5000000","1.5000000<.V.<=2.0000000","2.0000000<.V.<=2.5000000","2.5000000<.V.<=3.0000000","3.0000000<.V.<=3.5000000","3.5000000<.V.<=4.0000000","4.0000000<.V.<=4.5000000",".V.>4.5000000","0<.T.<=0.5000000","0.5000000<.T.<=1.0000000","1.0000000<.T.<=1.5000000","1.5000000<.T.<=2.0000000","2.0000000<.T.<=2.5000000","2.5000000<.T.<=3.0000000","3.0000000<.T.<=3.5000000","3.5000000<.T.<=4.0000000","4.0000000<.T.<=4.5000000",".T.>4.5000000","GrpName...118","Background","GrpName...120","Root","GrpName...122","NotUsed"
"1","Control_1part1","Control",1,"Davide","24/05/2024 18:07:16","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-144","Smooth Off Area Off LWRatio Off","Off",0.006,3193.1149,0,108.5803,0,341.1152,0,0.34,0,532185.8159,0,2.9,0,0,10871,10562,1884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",3192.4495,2874.0563,251.3269,35.8984,8.6158,4.335,5.0516,2.754,0.8391,0.6771,8.8954,306.4239,202.4385,52.9739,13.496,4.6583,2.9882,4.3502,2.8019,0.9568,0.8779,20.882,97.5377,64.4382,16.8621,4.2959,1.4828,0.9512,1.3847,0.8919,0.3046,0.2795,6.647,7.7312,1.3438,0.9229,0.4089,0.2019,0.1647,0.2989,0.2272,0.0869,0.0906,3.9854,10668,178,15,5,0,1,1,1,0,2,NA,NA,NA,NA,NA,NA
"2","Control_1part2","Control",1,"Davide","24/05/2024 18:14:58","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-145","Smooth Off Area Off LWRatio Off","Off",0.006,1586.1103,0,48.3937,0,152.0334,0,0.3051,0,264351.7171,0,1.16,0,0,4777,3647,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1585.9404,1443.6427,116.2167,18.2301,3.984,2.0989,1.6271,0.141,0,0,0,137.9659,101.5191,24.3712,6.926,2.1904,1.4842,1.3367,0.1384,0,0,0,43.9159,32.3145,7.7576,2.2046,0.6972,0.4724,0.4255,0.044,0,0,0,1.5869,0.6731,0.423,0.2121,0.0965,0.0839,0.0875,0.0108,0,0,0,4687,79,7,0,2,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"3","Control_2part1","Control",2,"Davide","24/05/2024 18:29:53","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-141","Smooth Off Area Off LWRatio Off","Off",0.006,4236.2122,0,120.5807,0,378.8155,0,0.2846,0,706035.364,0,2.696,0,0,12458,16158,3591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",4235.5812,3940.2792,244.0788,43.8189,3.728,1.7629,1.9133,0,0,0,0,343.44,271.4423,51.3589,15.8211,1.9645,1.2269,1.6264,0,0,0,0,109.3204,86.4028,16.348,5.036,0.6253,0.3905,0.5177,0,0,0,0,3.3421,1.7246,0.897,0.4593,0.0829,0.0681,0.1101,0,0,0,0,12319,128,9,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"4","Control_2part2","Control",2,"Davide","24/05/2024 18:39:35","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-139","Smooth Off Area Off LWRatio Off","Off",0.006,4306.3079,0,144.4271,0,453.7312,0,0.3354,0,717717.9866,0,3.804,0,0,13743,15125,3010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",4305.0482,3828.3739,366.9719,69.5941,18.5476,6.1262,3.7443,1.793,1.3608,0.9639,7.5726,416.05,275.2238,76.4798,25.8323,9.8421,4.2574,3.1434,1.8773,1.5635,1.3094,16.5209,132.4328,87.6065,24.3443,8.2227,3.1328,1.3552,1.0006,0.5976,0.4977,0.4168,5.2588,8.1788,1.8362,1.3144,0.7715,0.4185,0.2365,0.2106,0.1565,0.1433,0.1417,2.9497,13526,183,23,9,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"5","Control_3part1","Control",3,"Davide","24/05/2024 18:52:04","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-141","Smooth Off Area Off LWRatio Off","Off",0.006,4207.2696,0,138.8424,0,436.1862,0,0.33,0,701211.5996,0,3.599,0,0,14313,16519,3091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",4206.5801,3773.9858,340.8878,53.6746,13.575,9.2869,7.1131,1.7238,1.1415,0.5234,4.6682,394.2446,270.0829,70.7642,20.1601,7.3025,6.5018,6.1308,1.729,1.3699,0.6712,9.5321,125.492,85.9701,22.525,6.4172,2.3245,2.0696,1.9515,0.5504,0.4361,0.2136,3.0342,6.6742,1.8039,1.2134,0.6114,0.3144,0.3638,0.4214,0.1381,0.1311,0.0685,1.6081,14157,129,19,6,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"6","Control_3part2","Control",3,"Davide","24/05/2024 18:59:47","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-141","Smooth Off Area Off LWRatio Off","Off",0.006,4012.6262,0,110.9563,0,348.5794,0,0.2765,0,668771.039,0,2.41,0,0,15614,13223,2611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",4011.7079,3788.1401,198.9525,20.5397,3.2946,0.1901,0.5248,0.0662,0,0,0,316.7829,266.8314,39.6824,7.9388,1.7023,0.1246,0.4387,0.0645,0,0,0,100.8351,84.9351,12.6313,2.527,0.5419,0.0397,0.1397,0.0205,0,0,0,2.7661,1.7543,0.6527,0.2479,0.0704,0.0065,0.0292,0.005,0,0,0,15455,147,9,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"7","Control_4part1","Control",4,"Davide","24/05/2024 19:13:59","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-140","Smooth Off Area Off LWRatio Off","Off",0.006,2766.6084,0,103.2883,0,324.4899,0,0.3733,0,461101.3988,0,3.029,0,0,9956,8788,1315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",2766.3055,2382.8671,301.3637,50.2731,14.7962,5.7721,2.244,0.2687,0.513,0.3004,7.9071,297.3242,182.0903,62.1226,19.0887,7.7978,4.0646,1.9727,0.2714,0.614,0.4082,18.8938,94.6412,57.9611,19.7742,6.0761,2.4821,1.2938,0.6279,0.0864,0.1954,0.1299,6.0141,7.4948,1.2956,1.0571,0.5852,0.329,0.2285,0.1384,0.0218,0.0586,0.0441,3.7364,9785,144,20,4,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA
"8","Control_4part2","Control",4,"Davide","24/05/2024 19:21:38","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-139","Smooth Off Area Off LWRatio Off","Off",0.006,3343.7278,0,105.9942,0,332.9907,0,0.317,0,557287.9618,0,2.639,0,0,11554,10053,1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",3343.0238,3023.7917,262.775,37.0341,11.6561,4.2474,2.0609,0.7145,0.6811,0.063,0,305.488,224.1666,54.8795,13.6383,6.4173,3.0363,1.7936,0.6904,0.7859,0.08,0,97.2399,71.3545,17.4687,4.3412,2.0427,0.9665,0.5709,0.2198,0.2502,0.0255,0,3.6012,1.5338,0.9475,0.405,0.2833,0.1737,0.1244,0.0531,0.0722,0.0081,0,11416,118,15,4,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"9","Control_5part1","Control",5,"Davide","24/05/2024 19:34:33","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-144","Smooth Off Area Off LWRatio Off","Off",0.006,3723.4583,0,99.5308,0,312.6852,0,0.2673,0,620576.3772,0,2.09,0,0,16793,12722,2976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",3722.8237,3525.8358,146.4475,30.7014,5.3127,1.09,2.0902,0.7307,1.2464,1.5051,7.8637,281.376,214.1891,31.4791,11.4507,2.7487,0.7682,1.8537,0.7405,1.4556,2.0012,14.6892,89.5648,68.1785,10.0201,3.6449,0.8749,0.2445,0.5901,0.2357,0.4633,0.637,4.6757,5.0612,1.2465,0.5593,0.3439,0.1139,0.0432,0.131,0.0599,0.1355,0.2121,2.216,16687,88,13,3,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"10","Control_5part2","Control",5,"Davide","24/05/2024 19:43:23","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-140","Smooth Off Area Off LWRatio Off","Off",0.006,3419.4263,0,104.7307,0,329.0213,0,0.3063,0,569904.3915,0,2.519,0,0,13847,10484,2040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",3418.9471,3116.5795,222.2324,43.8139,20.4562,10.769,4.7975,0.112,0.124,0.0627,0,300.552,214.4439,46.4477,17.0014,10.8272,7.5299,3.9708,0.109,0.1414,0.0806,0,95.6687,68.2596,14.7847,5.4117,3.4464,2.3969,1.264,0.0347,0.045,0.0257,0,3.8907,1.3848,0.8018,0.5326,0.4592,0.4207,0.262,0.0084,0.0128,0.0082,0,13683,133,17,9,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA
