Cod,Treatment,Days,mean_class
NC,Control,0,0
NC,Control,3,0
NC,Control,7,0
NC,Control,10,0
NC,Control,14,0
NC,Control,18,0.14285714285714285
NC,Control,21,0.14285714285714285
NC,Control,24,0.14285714285714285
NC,Control,28,0.14285714285714285
NC,Control,31,0.14285714285714285
NC,Control,39,0.14285714285714285
NC,Control,42,0.14285714285714285
NC,Control,45,0.7142857142857143
NC,Control,47,0.7142857142857143
NC,Control,54,0.7142857142857143
NC,Control,56,0.7142857142857143
NC,Control,59,0.7142857142857143
NC,Control,63,0.7142857142857143
NC,Control,66,0.7142857142857143
NC,Control,70,0.8571428571428571
NC,Control,73,0.8571428571428571
NC,Control,77,0.8571428571428571
NC,Control,80,0.8571428571428571
NC,Control,84,0.8571428571428571
NC,Control,87,0.8571428571428571
NC,Control,91,0.8571428571428571
NC,Control,94,0.8571428571428571
PH 462,P. asparagi,0,0
PH 462,P. asparagi,5,0
PH 462,P. asparagi,9,0
PH 462,P. asparagi,12,0
PH 462,P. asparagi,16,0
PH 462,P. asparagi,19,0.14285714285714285
PH 462,P. asparagi,23,0.2857142857142857
PH 462,P. asparagi,26,0.42857142857142855
PH 462,P. asparagi,30,0.42857142857142855
PH 462,P. asparagi,33,0.42857142857142855
PH 462,P. asparagi,37,0.42857142857142855
PH 462,P. asparagi,40,0.42857142857142855
PH 462,P. asparagi,44,0.42857142857142855
PH 462,P. asparagi,48,0.42857142857142855
PH 462,P. asparagi,51,0.42857142857142855
PH 462,P. asparagi,54,0.5714285714285714
PH 462,P. asparagi,58,0.5714285714285714
PH 462,P. asparagi,61,0.5714285714285714
PH 462,P. asparagi,69,0.5714285714285714
PH 462,P. asparagi,72,0.7142857142857143
PH 462,P. asparagi,75,1
PH 462,P. asparagi,77,1
PH 462,P. asparagi,84,1.1428571428571428
PH 462,P. asparagi,86,1.1428571428571428
PH 462,P. asparagi,89,1.1428571428571428
PH 462,P. asparagi,93,1.2857142857142858
PH 462,P. asparagi,96,1.2857142857142858
PH 462,P. asparagi,100,1.2857142857142858
PH 480,P. oleae,0,0
PH 480,P. oleae,5,0
PH 480,P. oleae,9,0.14285714285714285
PH 480,P. oleae,12,0.14285714285714285
PH 480,P. oleae,16,0.2857142857142857
PH 480,P. oleae,19,0.42857142857142855
PH 480,P. oleae,23,0.42857142857142855
PH 480,P. oleae,26,0.5714285714285714
PH 480,P. oleae,30,0.7142857142857143
PH 480,P. oleae,33,0.7142857142857143
PH 480,P. oleae,37,0.7142857142857143
PH 480,P. oleae,40,0.8571428571428571
PH 480,P. oleae,44,0.8571428571428571
PH 480,P. oleae,48,1
PH 480,P. oleae,51,1
PH 480,P. oleae,54,1
PH 480,P. oleae,58,1
PH 480,P. oleae,61,1
PH 480,P. oleae,69,1
PH 480,P. oleae,72,1
PH 480,P. oleae,75,1
PH 480,P. oleae,77,1
PH 480,P. oleae,84,1.2857142857142858
PH 480,P. oleae,86,1.2857142857142858
PH 480,P. oleae,89,1.2857142857142858
PH 480,P. oleae,93,1.2857142857142858
PH 480,P. oleae,96,1.2857142857142858
PH 480,P. oleae,100,1.5714285714285714
PH 487,P. syringae,0,0
PH 487,P. syringae,5,0
PH 487,P. syringae,9,0
PH 487,P. syringae,12,0.14285714285714285
PH 487,P. syringae,16,0.14285714285714285
PH 487,P. syringae,19,0.14285714285714285
PH 487,P. syringae,23,0.42857142857142855
PH 487,P. syringae,26,0.42857142857142855
PH 487,P. syringae,30,0.42857142857142855
PH 487,P. syringae,33,0.42857142857142855
PH 487,P. syringae,37,0.42857142857142855
PH 487,P. syringae,40,0.42857142857142855
PH 487,P. syringae,44,0.42857142857142855
PH 487,P. syringae,48,0.42857142857142855
PH 487,P. syringae,51,0.42857142857142855
PH 487,P. syringae,54,0.5714285714285714
PH 487,P. syringae,58,0.7142857142857143
PH 487,P. syringae,61,0.7142857142857143
PH 487,P. syringae,69,0.7142857142857143
PH 487,P. syringae,72,0.7142857142857143
PH 487,P. syringae,75,1
PH 487,P. syringae,77,1
PH 487,P. syringae,84,1
