"","sample_Id","treatment","plant","length","avgDiam","VOLT","FRL","CRL","FRS","CRS","FVOL"
"1","Control_1part1","Control",1,3193.1149,0.34,2.9,3169.8974,22.5522,273.5667,32.857,2.8775
"2","Control_1part2","Control",1,1586.1103,0.3051,1.16,1582.0735,3.867,135.0067,2.9593,1.4047
"3","Control_2part1","Control",2,4236.2122,0.2846,2.696,4231.9049,3.6762,340.5868,2.8533,3.1638
"4","Control_2part2","Control",2,4306.3079,0.3354,3.804,4283.4875,21.5608,387.378,28.6719,4.3406
"5","Control_3part1","Control",3,4207.2696,0.33,3.599,4182.1232,24.4569,368.3097,25.9348,3.9431
"6","Control_3part2","Control",3,4012.6262,0.2765,2.41,4010.9269,0.7811,316.1549,0.6278,2.7253
"7","Control_4part1","Control",4,2766.6084,0.3733,3.029,2749.3001,17.0053,271.0994,26.2247,3.2669
"8","Control_4part2","Control",4,3343.7278,0.317,2.639,3335.2569,7.7669,299.1017,6.3862,3.1696
"9","Control_5part1","Control",5,3723.4583,0.2673,2.09,3708.2974,14.5261,259.8676,21.5084,2.2636
"10","Control_5part2","Control",5,3419.4263,0.3063,2.519,3403.082,15.8652,288.7202,11.8317,3.1784
"11","Control_6part1","Control",6,3465.537,0.3429,3.2,3443.439,21.6068,314.1713,29.885,3.4771
"12","Control_6part2","Control",6,4538.3993,0.2759,2.712,4535.145,2.5828,356.1537,2.0493,3.1068
"13","Control_7part1","Control",7,4985.7156,0.2854,3.189,4963.8518,20.6773,367.175,36.4638,3.0217
"14","Control_7part2","Control",7,4143.8923,0.245,1.953,4142.3632,0.7056,288.8805,0.4993,2.1854
"15","PH462_1","PH462",1,6297.6545,0.3839,7.291,6268.4288,27.6743,646.5831,32.6249,8.5598
"16","PH462_2","PH462",2,5862.2108,0.4224,8.213,5791.7267,68.2781,604.2075,84.8891,8.4334
"17","PH462_3","PH462",3,4309.5602,0.5405,9.889,4259.0595,50.0929,606.1561,59.4445,9.7943
"18","PH462_4","PH462",4,6034.6008,0.3621,6.213,5997.8321,35.1689,565.9543,43.2586,6.6661
"19","PH462_5","PH462",5,3516.5016,0.5219,7.523,3458.6674,57.1711,459.3845,64.9012,7.6102
"20","PH462_6","PH462",6,3469.1504,0.5283,7.605,3424.3292,44.0493,482.4233,43.8709,8.2578
"21","PH462_7","PH462",7,3525.824,0.5624,8.76,3483.0811,42.1253,516.092,48.7052,8.6993
"22","PH480_1","PH480",1,3388.9135,0.4355,5.048,3360.5239,27.3543,380.1616,33.2083,5.5482
"23","PH480_2","PH480",2,3280.0765,0.4132,4.398,3248.276,30.6782,348.464,32.2132,5.2095
"24","PH480_3","PH480",3,2844.7288,0.4958,5.491,2803.2735,41.0345,360.5719,42.4825,5.93
"25","PH480_4","PH480",4,3146.6491,0.4282,4.532,3107.1181,38.1962,336.7472,41.888,4.8311
"26","PH480_5","PH480",5,3587.3287,0.509,7.3,3522.4208,64.2783,445.831,71.9757,7.2251
"27","PH480_6","PH480",6,2862.3169,0.4274,4.106,2831.6465,30.1218,307.9936,37.2237,4.1513
"28","PH480_7","PH480",7,3685.1086,0.5087,7.491,3617.209,66.816,452.1058,77.4112,7.5101
"29","PH487_1part1","PH487",1,2788.1342,0.5639,6.963,2745.836,41.6279,408.2717,44.385,7.1224
"30","PH487_1part2","PH487",1,2385.3957,0.5204,5.073,2338.1899,46.8566,316.7299,42.9797,5.108
"31","PH487_2","PH487",2,3417.0089,0.4848,6.307,3375.7024,40.2875,406.1399,60.4104,5.813
"32","PH487_3","PH487",3,2942.3894,0.42,4.076,2903.3559,38.6138,310.4267,37.7211,4.2545
"33","PH487_4","PH487",4,4040.0954,0.4287,5.83,3998.8631,40.1417,442.5017,49.0062,6.0418
"34","PH487_5part1","PH487",5,2398.8086,0.5676,6.07,2362.5373,35.886,348.9512,41.8534,6.2846
"35","PH487_5part2","PH487",5,1683.1872,0.4922,3.202,1664.4554,18.3517,224.7595,13.8739,3.8429
"36","PH487_6","PH487",6,3663.0954,0.438,5.52,3632.9453,29.5463,413.0719,40.1399,5.9196
"37","PH487_7","PH487",7,2840.423,0.4353,4.228,2798.4376,41.2035,302.4908,48.2812,4.3418
"38","PH494_1part1","PH494",1,3370.7999,0.6666,11.765,3299.0817,70.99,564.0172,75.4943,10.9604
