treatment,plant,weight
PH518,1,7.8626
PH518,2,7.8763
PH518,3,2.0728
PH518,4,4.5897
PH518,5,1.9944
PH518,6,3.8903
PH518,7,3.2965
PH521,1,4.1792
PH521,2,3.9347
PH521,3,6.4135
PH521,4,7.2818
PH521,5,5.5098
PH521,6,7.0413
PH521,7,8.7625
PH536,1,4.0133
PH536,2,6.5403
PH536,3,5.4525
PH536,4,5.4693
PH536,5,1.4342
PH536,6,3.8874
PH536,7,2.1155
PH537,1,4.0806
PH537,2,4.2882
PH537,3,3.2795
PH537,4,5.0363
PH537,5,2.7637
PH537,6,4.5099
PH537,7,5.5548
PH541,1,2.6491
PH541,2,9.7815
PH541,3,3.7134
PH541,4,4.2675
PH541,5,3.3445
PH541,6,5.1852
PH541,7,4.0611
PH462,1,6.1835
PH462,2,5.7423
PH462,3,3.2133
PH462,4,5.2345
PH462,5,3.9759
PH462,6,5.6272
PH462,7,4.5491
PH480,1,3.3352
PH480,2,2.6278
PH480,3,3.3286
PH480,4,3.3828
PH480,5,4.4236
PH480,6,2.6792
PH480,7,4.2609
PH487,1,7.3686
PH487,2,2.9631
PH487,3,3.0246
PH487,4,2.3785
PH487,5,6.8271
PH487,6,3.5484
PH487,7,2.451
PH494,1,8.4208
PH494,2,4.0775
PH494,3,1.6977
PH494,4,4.3171
PH494,5,6.8416
PH494,6,3.1773
PH494,7,9.0784
PH504,1,2.8059
PH504,2,3.3057
PH504,3,2.5876
PH504,4,3.2267
PH504,5,1.8157
PH504,6,4.7913
PH504,7,4.6173
PH505,1,3.3599
PH505,2,3.5703
PH505,3,3.4381
PH505,4,4.1753
PH505,5,3.4428
PH505,6,4.3873
PH505,7,4.1504
PH531,1,3.2522
PH531,2,3.2907
PH531,3,4.0618
PH531,4,2.8121
PH531,5,1.4985
PH531,6,3.0647
PH531,7,4.3847
Control,1,3.7838
Control,2,6.7265
Control,3,5.5026
Control,4,5.7149
Control,5,4.8247
Control,6,5.6005
Control,7,4.498
